CódigoVenda;Quantidade;Produto;Valor Unitário;Valor Final
67432;2;Casaco Liso;R$ 255,00;R$ 510,00
67432;3;Casaco Liso;R$ 255,00;R$ 765,00
67432;5;Sunga Listrado;R$ 114,00;R$ 570,00
67435;1;Sunga;R$ 100,00;R$ 100,00
67436;2;Camisa Gola V Xadrez;R$ 107,00;R$ 214,00
67436;1;Camiseta Liso;R$ 187,00;R$ 187,00
67437;1;Cinto Linho;R$ 248,00;R$ 248,00
67437;1;Tênis Xadrez;R$ 259,00;R$ 259,00
67438;1;Pulseira Liso;R$ 87,00;R$ 87,00
67438;2;Calça;R$ 170,00;R$ 340,00
67438;3;Sunga Estampa;R$ 120,00;R$ 360,00
67439;2;Cueca Listrado;R$ 67,00;R$ 134,00
67439;2;Terno Liso;R$ 720,00;R$ 1.440,00
67439;1;Pulseira Linho;R$ 114,00;R$ 114,00
67441;2;Sapato Estampa;R$ 358,00;R$ 716,00
67441;4;Meia Xadrez;R$ 41,00;R$ 164,00
67442;1;Terno;R$ 700,00;R$ 700,00
67442;1;Tênis Estampa;R$ 256,00;R$ 256,00
67442;1;Relógio Estampa;R$ 219,00;R$ 219,00
67444;5;Meia;R$ 30,00;R$ 150,00
67444;3;Camiseta Linho;R$ 223,00;R$ 669,00
67444;2;Pulseira Linho;R$ 114,00;R$ 228,00
67445;2;Relógio;R$ 200,00;R$ 400,00
67447;1;Camisa Linho;R$ 141,00;R$ 141,00
67447;4;Short Listrado;R$ 102,00;R$ 408,00
67448;1;Polo Listrado;R$ 149,00;R$ 149,00
67449;1;Relógio Estampa;R$ 219,00;R$ 219,00
67450;2;Camisa Linho;R$ 141,00;R$ 282,00
67450;1;Sapato Estampa;R$ 358,00;R$ 358,00
67450;2;Gorro Linho;R$ 124,00;R$ 248,00
67450;1;Mochila Linho;R$ 311,00;R$ 311,00
67450;1;Meia;R$ 30,00;R$ 30,00
67451;4;Bermuda Xadrez;R$ 155,00;R$ 620,00
67452;2;Camiseta Linho;R$ 223,00;R$ 446,00
67453;5;Bermuda;R$ 150,00;R$ 750,00
67453;2;Casaco Estampa;R$ 256,00;R$ 512,00
67456;1;Tênis Listrado;R$ 262,00;R$ 262,00
67457;4;Polo Listrado;R$ 149,00;R$ 596,00
67458;1;Relógio Liso;R$ 216,00;R$ 216,00
67458;1;Relógio Listrado;R$ 218,00;R$ 218,00
67459;4;Camiseta Estampa;R$ 196,00;R$ 784,00
67460;4;Sapato Liso;R$ 368,00;R$ 1.472,00
67460;2;Pulseira Liso;R$ 87,00;R$ 174,00
67460;2;Mochila Xadrez;R$ 283,00;R$ 566,00
67463;1;Mochila Listrado;R$ 275,00;R$ 275,00
67463;3;Tênis Estampa;R$ 256,00;R$ 768,00
67464;1;Camisa Xadrez;R$ 105,00;R$ 105,00
67466;2;Camisa Gola V;R$ 100,00;R$ 200,00
67466;1;Cueca;R$ 50,00;R$ 50,00
67469;3;Sunga;R$ 100,00;R$ 300,00
67469;1;Chinelo;R$ 60,00;R$ 60,00
67471;3;Sunga Listrado;R$ 114,00;R$ 342,00
67471;2;Terno Linho;R$ 750,00;R$ 1.500,00
67473;5;Mochila Liso;R$ 276,00;R$ 1.380,00
67473;2;Casaco Listrado;R$ 269,00;R$ 538,00
67473;1;Bermuda Estampa;R$ 169,00;R$ 169,00
67473;3;Tênis Liso;R$ 266,00;R$ 798,00
67474;1;Gorro Liso;R$ 92,00;R$ 92,00
67474;2;Cueca Xadrez;R$ 60,00;R$ 120,00
67474;3;Tênis Estampa;R$ 256,00;R$ 768,00
67475;2;Camiseta Listrado;R$ 197,00;R$ 394,00
67475;2;Terno Estampa;R$ 706,00;R$ 1.412,00
67477;1;Sunga;R$ 100,00;R$ 100,00
67477;1;Meia Liso;R$ 38,00;R$ 38,00
67478;1;Relógio Linho;R$ 240,00;R$ 240,00
67479;1;Short Liso;R$ 108,00;R$ 108,00
67479;2;Terno Xadrez;R$ 709,00;R$ 1.418,00
67480;1;Calça Linho;R$ 211,00;R$ 211,00
67481;5;Pulseira;R$ 70,00;R$ 350,00
67482;3;Mochila Listrado;R$ 275,00;R$ 825,00
67482;2;Chinelo Liso;R$ 71,00;R$ 142,00
67482;4;Casaco Listrado;R$ 269,00;R$ 1.076,00
67482;1;Cinto Xadrez;R$ 215,00;R$ 215,00
67483;1;Terno Listrado;R$ 709,00;R$ 709,00
67483;2;Meia Estampa;R$ 50,00;R$ 100,00
67483;2;Meia Estampa;R$ 50,00;R$ 100,00
67484;1;Tênis;R$ 250,00;R$ 250,00
67484;4;Tênis Listrado;R$ 262,00;R$ 1.048,00
67484;2;Sapato Estampa;R$ 358,00;R$ 716,00
67487;1;Cinto Estampa;R$ 209,00;R$ 209,00
67488;2;Camisa Xadrez;R$ 105,00;R$ 210,00
67488;1;Mochila Listrado;R$ 275,00;R$ 275,00
67490;1;Polo Linho;R$ 176,00;R$ 176,00
67491;2;Casaco;R$ 250,00;R$ 500,00
67492;4;Cinto Liso;R$ 209,00;R$ 836,00
67492;3;Casaco Linho;R$ 299,00;R$ 897,00
67492;1;Bermuda;R$ 150,00;R$ 150,00
67493;1;Gorro Estampa;R$ 93,00;R$ 93,00
67493;2;Polo Liso;R$ 137,00;R$ 274,00
67494;2;Relógio Xadrez;R$ 214,00;R$ 428,00
67495;3;Bermuda Xadrez;R$ 155,00;R$ 465,00
67495;2;Sunga Listrado;R$ 114,00;R$ 228,00
67499;2;Relógio Xadrez;R$ 214,00;R$ 428,00
67499;1;Relógio Estampa;R$ 219,00;R$ 219,00
67501;1;Gorro;R$ 80,00;R$ 80,00
67501;1;Calça Estampa;R$ 177,00;R$ 177,00
67502;4;Camiseta Linho;R$ 223,00;R$ 892,00
67503;2;Sunga Estampa;R$ 120,00;R$ 240,00
67504;2;Calça Liso;R$ 190,00;R$ 380,00
67504;5;Casaco;R$ 250,00;R$ 1.250,00
67504;1;Meia Linho;R$ 78,00;R$ 78,00
67504;1;Camisa Gola V Liso;R$ 118,00;R$ 118,00
67505;1;Calça Listrado;R$ 181,00;R$ 181,00
67507;4;Chinelo Xadrez;R$ 66,00;R$ 264,00
67508;5;Casaco Estampa;R$ 256,00;R$ 1.280,00
67508;1;Cinto Listrado;R$ 214,00;R$ 214,00
67508;2;Sunga Linho;R$ 149,00;R$ 298,00
67509;1;Polo;R$ 130,00;R$ 130,00
67510;2;Meia Listrado;R$ 37,00;R$ 74,00
67510;1;Polo;R$ 130,00;R$ 130,00
67510;2;Camisa Estampa;R$ 113,00;R$ 226,00
67511;1;Camisa;R$ 100,00;R$ 100,00
67512;3;Casaco Liso;R$ 255,00;R$ 765,00
67515;2;Cinto Listrado;R$ 214,00;R$ 428,00
67515;1;Sapato Linho;R$ 391,00;R$ 391,00
67515;2;Short Xadrez;R$ 100,00;R$ 200,00
67516;4;Mochila Estampa;R$ 277,00;R$ 1.108,00
67517;1;Cueca;R$ 50,00;R$ 50,00
67518;1;Camisa Gola V Liso;R$ 118,00;R$ 118,00
67518;3;Camisa Gola V Estampa;R$ 118,00;R$ 354,00
67518;2;Cinto Linho;R$ 248,00;R$ 496,00
67519;2;Camisa Liso;R$ 105,00;R$ 210,00
67520;1;Short;R$ 90,00;R$ 90,00
67520;1;Terno Estampa;R$ 706,00;R$ 706,00
67520;3;Meia Linho;R$ 78,00;R$ 234,00
67521;2;Mochila Estampa;R$ 277,00;R$ 554,00
67521;1;Pulseira Listrado;R$ 79,00;R$ 79,00
67524;5;Relógio Xadrez;R$ 214,00;R$ 1.070,00
67524;1;Terno Linho;R$ 750,00;R$ 750,00
67524;2;Sapato Linho;R$ 391,00;R$ 782,00
67525;2;Sunga Linho;R$ 149,00;R$ 298,00
67526;1;Pulseira;R$ 70,00;R$ 70,00
67527;5;Bermuda Liso;R$ 157,00;R$ 785,00
67527;3;Bermuda Liso;R$ 157,00;R$ 471,00
67528;2;Camisa Gola V Xadrez;R$ 107,00;R$ 214,00
67529;4;Chinelo;R$ 60,00;R$ 240,00
67529;3;Relógio Listrado;R$ 218,00;R$ 654,00
67530;1;Meia Xadrez;R$ 41,00;R$ 41,00
67531;2;Short Listrado;R$ 102,00;R$ 204,00
67531;1;Meia Xadrez;R$ 41,00;R$ 41,00
67532;4;Cueca Listrado;R$ 67,00;R$ 268,00
67532;2;Sunga Linho;R$ 149,00;R$ 298,00
67534;3;Gorro Listrado;R$ 97,00;R$ 291,00
67534;1;Sunga Listrado;R$ 114,00;R$ 114,00
67536;4;Cueca Estampa;R$ 66,00;R$ 264,00
67536;1;Camisa;R$ 100,00;R$ 100,00
67536;3;Sapato Estampa;R$ 358,00;R$ 1.074,00
67536;1;Sunga Liso;R$ 114,00;R$ 114,00
67537;4;Bermuda Xadrez;R$ 155,00;R$ 620,00
67538;2;Cueca Linho;R$ 93,00;R$ 186,00
67539;2;Sunga Linho;R$ 149,00;R$ 298,00
67540;2;Relógio Linho;R$ 240,00;R$ 480,00
67540;1;Camisa Gola V;R$ 100,00;R$ 100,00
67541;3;Pulseira Listrado;R$ 79,00;R$ 237,00
67541;2;Cueca Liso;R$ 69,00;R$ 138,00
67543;1;Short Linho;R$ 133,00;R$ 133,00
67544;1;Pulseira Estampa;R$ 87,00;R$ 87,00
67544;5;Mochila Xadrez;R$ 283,00;R$ 1.415,00
67545;1;Meia Liso;R$ 38,00;R$ 38,00
67545;1;Sapato Xadrez;R$ 368,00;R$ 368,00
67546;2;Chinelo Linho;R$ 105,00;R$ 210,00
67547;1;Chinelo;R$ 60,00;R$ 60,00
67547;2;Calça Estampa;R$ 177,00;R$ 354,00
67548;3;Camisa Gola V Estampa;R$ 118,00;R$ 354,00
67548;2;Gorro Xadrez;R$ 85,00;R$ 170,00
67548;1;Casaco Listrado;R$ 269,00;R$ 269,00
67549;1;Tênis Xadrez;R$ 259,00;R$ 259,00
67549;4;Pulseira Estampa;R$ 87,00;R$ 348,00
67550;1;Cueca Liso;R$ 69,00;R$ 69,00
67551;3;Camisa Gola V Xadrez;R$ 107,00;R$ 321,00
67551;2;Tênis Xadrez;R$ 259,00;R$ 518,00
67553;3;Cueca Liso;R$ 69,00;R$ 207,00
67553;5;Camisa Estampa;R$ 113,00;R$ 565,00
67553;2;Meia Linho;R$ 78,00;R$ 156,00
67554;3;Camiseta Listrado;R$ 197,00;R$ 591,00
67556;2;Calça Listrado;R$ 181,00;R$ 362,00
67557;1;Casaco;R$ 250,00;R$ 250,00
67558;2;Camisa Listrado;R$ 108,00;R$ 216,00
67560;1;Mochila Liso;R$ 276,00;R$ 276,00
67560;1;Bermuda;R$ 150,00;R$ 150,00
67562;3;Cinto Linho;R$ 248,00;R$ 744,00
67563;2;Camisa Gola V Listrado;R$ 116,00;R$ 232,00
67564;5;Terno Linho;R$ 750,00;R$ 3.750,00
67566;3;Camisa Gola V Liso;R$ 118,00;R$ 354,00
67567;2;Short Xadrez;R$ 100,00;R$ 200,00
67567;3;Chinelo Liso;R$ 71,00;R$ 213,00
67568;3;Sapato Liso;R$ 368,00;R$ 1.104,00
67568;5;Pulseira Listrado;R$ 79,00;R$ 395,00
67570;1;Camisa Linho;R$ 141,00;R$ 141,00
67570;1;Pulseira Linho;R$ 114,00;R$ 114,00
67571;2;Short Liso;R$ 108,00;R$ 216,00
67571;3;Camisa;R$ 100,00;R$ 300,00
67572;2;Terno Estampa;R$ 706,00;R$ 1.412,00
67572;3;Pulseira Linho;R$ 114,00;R$ 342,00
67573;1;Polo Listrado;R$ 149,00;R$ 149,00
67574;1;Sapato Linho;R$ 391,00;R$ 391,00
67578;2;Mochila Xadrez;R$ 283,00;R$ 566,00
67578;2;Cueca Linho;R$ 93,00;R$ 186,00
67579;2;Cueca;R$ 50,00;R$ 100,00
67579;2;Bermuda;R$ 150,00;R$ 300,00
67579;1;Sapato Linho;R$ 391,00;R$ 391,00
67580;1;Tênis Liso;R$ 266,00;R$ 266,00
67581;4;Casaco Linho;R$ 299,00;R$ 1.196,00
67581;4;Gorro Xadrez;R$ 85,00;R$ 340,00
67582;2;Sapato Linho;R$ 391,00;R$ 782,00
67583;2;Sunga Liso;R$ 114,00;R$ 228,00
67584;1;Casaco;R$ 250,00;R$ 250,00
67584;1;Pulseira;R$ 70,00;R$ 70,00
67584;2;Mochila Estampa;R$ 277,00;R$ 554,00
67585;3;Chinelo Listrado;R$ 73,00;R$ 219,00
67586;1;Pulseira Liso;R$ 87,00;R$ 87,00
67586;4;Relógio Liso;R$ 216,00;R$ 864,00
67586;2;Camiseta Xadrez;R$ 200,00;R$ 400,00
67588;2;Chinelo;R$ 60,00;R$ 120,00
67588;3;Short Listrado;R$ 102,00;R$ 306,00
67588;3;Terno Estampa;R$ 706,00;R$ 2.118,00
67589;2;Gorro Xadrez;R$ 85,00;R$ 170,00
67589;5;Camisa Liso;R$ 105,00;R$ 525,00
67589;2;Mochila Estampa;R$ 277,00;R$ 554,00
67590;1;Polo Liso;R$ 137,00;R$ 137,00
67591;4;Camisa Listrado;R$ 108,00;R$ 432,00
67593;2;Sapato Liso;R$ 368,00;R$ 736,00
67593;5;Polo Estampa;R$ 138,00;R$ 690,00
67594;3;Mochila Linho;R$ 311,00;R$ 933,00
67595;1;Terno Listrado;R$ 709,00;R$ 709,00
67595;2;Pulseira Linho;R$ 114,00;R$ 228,00
67596;1;Camiseta Xadrez;R$ 200,00;R$ 200,00
67597;2;Mochila Liso;R$ 276,00;R$ 552,00
67598;5;Short Liso;R$ 108,00;R$ 540,00
67600;3;Chinelo Listrado;R$ 73,00;R$ 219,00
67605;3;Mochila Linho;R$ 311,00;R$ 933,00
67605;2;Cueca Listrado;R$ 67,00;R$ 134,00
67607;5;Polo;R$ 130,00;R$ 650,00
67611;4;Camisa Listrado;R$ 108,00;R$ 432,00
67613;4;Camiseta Xadrez;R$ 200,00;R$ 800,00
67613;1;Camiseta Linho;R$ 223,00;R$ 223,00
67614;5;Camisa Liso;R$ 105,00;R$ 525,00
67617;4;Cinto Estampa;R$ 209,00;R$ 836,00
67617;2;Short Linho;R$ 133,00;R$ 266,00
67618;1;Relógio Liso;R$ 216,00;R$ 216,00
67618;1;Camiseta Xadrez;R$ 200,00;R$ 200,00
67619;1;Tênis Estampa;R$ 256,00;R$ 256,00
67621;1;Tênis Linho;R$ 294,00;R$ 294,00
67621;1;Cinto Liso;R$ 209,00;R$ 209,00
67622;1;Sapato Xadrez;R$ 368,00;R$ 368,00
67623;5;Calça Liso;R$ 190,00;R$ 950,00
67623;1;Tênis Xadrez;R$ 259,00;R$ 259,00
67624;1;Gorro Linho;R$ 124,00;R$ 124,00
67625;1;Calça Listrado;R$ 181,00;R$ 181,00
67625;3;Gorro Xadrez;R$ 85,00;R$ 255,00
67625;2;Tênis;R$ 250,00;R$ 500,00
67627;1;Cinto Liso;R$ 209,00;R$ 209,00
67627;1;Tênis;R$ 250,00;R$ 250,00
67628;1;Cueca Estampa;R$ 66,00;R$ 66,00
67628;2;Meia;R$ 30,00;R$ 60,00
67628;2;Bermuda Liso;R$ 157,00;R$ 314,00
67629;1;Camisa Liso;R$ 105,00;R$ 105,00
67631;3;Polo;R$ 130,00;R$ 390,00
67631;3;Sapato Xadrez;R$ 368,00;R$ 1.104,00
67631;2;Mochila Estampa;R$ 277,00;R$ 554,00
67631;1;Chinelo Linho;R$ 105,00;R$ 105,00
67632;2;Chinelo Xadrez;R$ 66,00;R$ 132,00
67633;1;Camiseta Estampa;R$ 196,00;R$ 196,00
67634;1;Camisa Listrado;R$ 108,00;R$ 108,00
67634;1;Mochila Estampa;R$ 277,00;R$ 277,00
67637;1;Relógio;R$ 200,00;R$ 200,00
67637;4;Cinto;R$ 200,00;R$ 800,00
67638;1;Camisa Gola V Xadrez;R$ 107,00;R$ 107,00
67640;1;Sapato;R$ 350,00;R$ 350,00
67640;1;Relógio Linho;R$ 240,00;R$ 240,00
67640;1;Sapato Linho;R$ 391,00;R$ 391,00
67640;1;Polo Linho;R$ 176,00;R$ 176,00
67640;2;Camiseta Listrado;R$ 197,00;R$ 394,00
67642;5;Meia Listrado;R$ 37,00;R$ 185,00
67643;1;Casaco Estampa;R$ 256,00;R$ 256,00
67645;1;Pulseira Liso;R$ 87,00;R$ 87,00
67646;1;Polo Xadrez;R$ 142,00;R$ 142,00
67646;1;Sapato Linho;R$ 391,00;R$ 391,00
67646;1;Chinelo Estampa;R$ 74,00;R$ 74,00
67647;5;Sunga Xadrez;R$ 116,00;R$ 580,00
67647;1;Calça Linho;R$ 211,00;R$ 211,00
67648;2;Cinto Listrado;R$ 214,00;R$ 428,00
67650;2;Chinelo Estampa;R$ 74,00;R$ 148,00
67651;1;Relógio Liso;R$ 216,00;R$ 216,00
67651;1;Chinelo Xadrez;R$ 66,00;R$ 66,00
67653;1;Camiseta;R$ 180,00;R$ 180,00
67653;1;Terno Linho;R$ 750,00;R$ 750,00
67653;1;Meia Listrado;R$ 37,00;R$ 37,00
67654;3;Tênis;R$ 250,00;R$ 750,00
67655;1;Tênis Listrado;R$ 262,00;R$ 262,00
67657;1;Camiseta;R$ 180,00;R$ 180,00
67658;2;Mochila;R$ 270,00;R$ 540,00
67658;1;Camiseta Liso;R$ 187,00;R$ 187,00
67660;1;Bermuda Liso;R$ 157,00;R$ 157,00
67661;4;Mochila Listrado;R$ 275,00;R$ 1.100,00
67662;1;Terno Xadrez;R$ 709,00;R$ 709,00
67662;2;Cinto Liso;R$ 209,00;R$ 418,00
67664;2;Camisa Linho;R$ 141,00;R$ 282,00
67664;2;Camiseta;R$ 180,00;R$ 360,00
67665;5;Meia;R$ 30,00;R$ 150,00
67666;1;Sunga Linho;R$ 149,00;R$ 149,00
67666;1;Tênis Estampa;R$ 256,00;R$ 256,00
67667;5;Camiseta Xadrez;R$ 200,00;R$ 1.000,00
67667;1;Mochila Listrado;R$ 275,00;R$ 275,00
67668;1;Casaco;R$ 250,00;R$ 250,00
67668;2;Cueca;R$ 50,00;R$ 100,00
67669;5;Polo Liso;R$ 137,00;R$ 685,00
67669;5;Sunga Xadrez;R$ 116,00;R$ 580,00
67670;4;Calça Liso;R$ 190,00;R$ 760,00
67670;4;Polo Linho;R$ 176,00;R$ 704,00
67670;1;Chinelo Estampa;R$ 74,00;R$ 74,00
67670;1;Pulseira Listrado;R$ 79,00;R$ 79,00
67671;1;Chinelo Linho;R$ 105,00;R$ 105,00
67673;2;Terno Linho;R$ 750,00;R$ 1.500,00
67677;4;Meia Listrado;R$ 37,00;R$ 148,00
67677;4;Chinelo Xadrez;R$ 66,00;R$ 264,00
67677;3;Casaco Estampa;R$ 256,00;R$ 768,00
67678;1;Chinelo Listrado;R$ 73,00;R$ 73,00
67679;2;Relógio;R$ 200,00;R$ 400,00
67679;1;Polo Xadrez;R$ 142,00;R$ 142,00
67679;3;Relógio Xadrez;R$ 214,00;R$ 642,00
67679;5;Sapato Listrado;R$ 363,00;R$ 1.815,00
67680;2;Camiseta Linho;R$ 223,00;R$ 446,00
67682;3;Meia Linho;R$ 78,00;R$ 234,00
67682;1;Calça Linho;R$ 211,00;R$ 211,00
67684;1;Chinelo Listrado;R$ 73,00;R$ 73,00
67684;3;Camisa Linho;R$ 141,00;R$ 423,00
67687;2;Cueca;R$ 50,00;R$ 100,00
67687;1;Mochila Liso;R$ 276,00;R$ 276,00
67687;2;Gorro Listrado;R$ 97,00;R$ 194,00
67688;5;Meia;R$ 30,00;R$ 150,00
67688;5;Mochila;R$ 270,00;R$ 1.350,00
67690;4;Cueca Xadrez;R$ 60,00;R$ 240,00
67692;1;Camisa Estampa;R$ 113,00;R$ 113,00
67693;1;Gorro Listrado;R$ 97,00;R$ 97,00
67693;2;Camiseta Liso;R$ 187,00;R$ 374,00
67694;1;Casaco;R$ 250,00;R$ 250,00
67694;2;Casaco Liso;R$ 255,00;R$ 510,00
67695;2;Sapato Listrado;R$ 363,00;R$ 726,00
67696;1;Relógio Liso;R$ 216,00;R$ 216,00
67697;1;Chinelo Listrado;R$ 73,00;R$ 73,00
67700;3;Casaco Listrado;R$ 269,00;R$ 807,00
67702;1;Meia Liso;R$ 38,00;R$ 38,00
67704;1;Cinto;R$ 200,00;R$ 200,00
67704;2;Terno Liso;R$ 720,00;R$ 1.440,00
67705;2;Camisa Gola V Liso;R$ 118,00;R$ 236,00
67707;1;Pulseira Listrado;R$ 79,00;R$ 79,00
67707;3;Camisa Gola V Estampa;R$ 118,00;R$ 354,00
67707;2;Sunga Linho;R$ 149,00;R$ 298,00
67708;2;Calça Liso;R$ 190,00;R$ 380,00
67708;1;Sunga Estampa;R$ 120,00;R$ 120,00
67708;1;Calça;R$ 170,00;R$ 170,00
67709;3;Terno Linho;R$ 750,00;R$ 2.250,00
67710;3;Calça Estampa;R$ 177,00;R$ 531,00
67710;1;Relógio Linho;R$ 240,00;R$ 240,00
67710;1;Polo Estampa;R$ 138,00;R$ 138,00
67710;1;Casaco;R$ 250,00;R$ 250,00
67711;2;Relógio;R$ 200,00;R$ 400,00
67713;1;Calça Estampa;R$ 177,00;R$ 177,00
67715;1;Camiseta Xadrez;R$ 200,00;R$ 200,00
67715;3;Chinelo Xadrez;R$ 66,00;R$ 198,00
67716;1;Mochila Estampa;R$ 277,00;R$ 277,00
67717;1;Pulseira Listrado;R$ 79,00;R$ 79,00
67718;2;Cinto Listrado;R$ 214,00;R$ 428,00
67719;1;Terno Linho;R$ 750,00;R$ 750,00
67720;2;Relógio;R$ 200,00;R$ 400,00
67723;4;Calça Liso;R$ 190,00;R$ 760,00
67723;1;Relógio Xadrez;R$ 214,00;R$ 214,00
67723;3;Relógio Linho;R$ 240,00;R$ 720,00
67724;2;Camiseta Xadrez;R$ 200,00;R$ 400,00
67724;2;Sunga Estampa;R$ 120,00;R$ 240,00
67724;1;Relógio Listrado;R$ 218,00;R$ 218,00
67726;2;Polo;R$ 130,00;R$ 260,00
67727;2;Bermuda Liso;R$ 157,00;R$ 314,00
67728;1;Bermuda Liso;R$ 157,00;R$ 157,00
67729;1;Camiseta Xadrez;R$ 200,00;R$ 200,00
67729;5;Cueca Xadrez;R$ 60,00;R$ 300,00
67730;1;Short Liso;R$ 108,00;R$ 108,00
67731;2;Relógio;R$ 200,00;R$ 400,00
67732;1;Bermuda;R$ 150,00;R$ 150,00
67732;2;Sapato Xadrez;R$ 368,00;R$ 736,00
67733;2;Camisa Linho;R$ 141,00;R$ 282,00
67733;1;Camisa Linho;R$ 141,00;R$ 141,00
67734;1;Gorro Xadrez;R$ 85,00;R$ 85,00
67734;2;Mochila Estampa;R$ 277,00;R$ 554,00
67734;1;Polo;R$ 130,00;R$ 130,00
67734;2;Cinto Liso;R$ 209,00;R$ 418,00
67735;3;Polo;R$ 130,00;R$ 390,00
67735;2;Polo Xadrez;R$ 142,00;R$ 284,00
67736;2;Terno Listrado;R$ 709,00;R$ 1.418,00
67739;2;Camisa Liso;R$ 105,00;R$ 210,00
67739;1;Mochila Liso;R$ 276,00;R$ 276,00
67739;1;Camiseta;R$ 180,00;R$ 180,00
67740;2;Gorro Xadrez;R$ 85,00;R$ 170,00
67743;4;Meia Estampa;R$ 50,00;R$ 200,00
67744;1;Gorro Xadrez;R$ 85,00;R$ 85,00
67746;2;Cueca Linho;R$ 93,00;R$ 186,00
67746;1;Calça Linho;R$ 211,00;R$ 211,00
67746;1;Tênis Linho;R$ 294,00;R$ 294,00
67747;3;Camiseta Estampa;R$ 196,00;R$ 588,00
67748;2;Relógio Listrado;R$ 218,00;R$ 436,00
67748;1;Pulseira Estampa;R$ 87,00;R$ 87,00
67748;2;Cinto Xadrez;R$ 215,00;R$ 430,00
67748;3;Calça Listrado;R$ 181,00;R$ 543,00
67748;4;Cueca Linho;R$ 93,00;R$ 372,00
67749;2;Chinelo Linho;R$ 105,00;R$ 210,00
67749;2;Bermuda Listrado;R$ 163,00;R$ 326,00
67749;1;Short Listrado;R$ 102,00;R$ 102,00
67750;2;Cinto Liso;R$ 209,00;R$ 418,00
67750;2;Camisa Gola V Listrado;R$ 116,00;R$ 232,00
67750;1;Camisa Liso;R$ 105,00;R$ 105,00
67751;2;Sapato Xadrez;R$ 368,00;R$ 736,00
67751;4;Mochila Liso;R$ 276,00;R$ 1.104,00
67751;1;Bermuda Liso;R$ 157,00;R$ 157,00
67751;1;Tênis Xadrez;R$ 259,00;R$ 259,00
67752;2;Cueca Liso;R$ 69,00;R$ 138,00
67752;2;Short Linho;R$ 133,00;R$ 266,00
67752;3;Bermuda Xadrez;R$ 155,00;R$ 465,00
67752;1;Calça Linho;R$ 211,00;R$ 211,00
67752;1;Terno Estampa;R$ 706,00;R$ 706,00
67753;2;Camiseta Listrado;R$ 197,00;R$ 394,00
67753;5;Sapato Linho;R$ 391,00;R$ 1.955,00
67754;3;Relógio Xadrez;R$ 214,00;R$ 642,00
67755;2;Polo Xadrez;R$ 142,00;R$ 284,00
67756;1;Bermuda Liso;R$ 157,00;R$ 157,00
67756;1;Terno Listrado;R$ 709,00;R$ 709,00
67757;1;Camisa Gola V Estampa;R$ 118,00;R$ 118,00
67757;1;Short Estampa;R$ 96,00;R$ 96,00
67757;1;Bermuda Estampa;R$ 169,00;R$ 169,00
67758;3;Meia Linho;R$ 78,00;R$ 234,00
67759;2;Chinelo Listrado;R$ 73,00;R$ 146,00
67760;2;Gorro Listrado;R$ 97,00;R$ 194,00
67760;3;Sunga Liso;R$ 114,00;R$ 342,00
67762;2;Sunga Xadrez;R$ 116,00;R$ 232,00
67763;3;Chinelo Listrado;R$ 73,00;R$ 219,00
67764;2;Meia Xadrez;R$ 41,00;R$ 82,00
67765;1;Mochila Xadrez;R$ 283,00;R$ 283,00
67765;1;Camisa Gola V Xadrez;R$ 107,00;R$ 107,00
67766;3;Mochila Listrado;R$ 275,00;R$ 825,00
67766;1;Camisa Gola V Linho;R$ 145,00;R$ 145,00
67766;3;Terno Linho;R$ 750,00;R$ 2.250,00
67767;5;Chinelo Xadrez;R$ 66,00;R$ 330,00
67770;2;Meia Estampa;R$ 50,00;R$ 100,00
67770;1;Bermuda Linho;R$ 195,00;R$ 195,00
67770;1;Meia Estampa;R$ 50,00;R$ 50,00
67771;2;Meia Linho;R$ 78,00;R$ 156,00
67771;1;Meia Linho;R$ 78,00;R$ 78,00
67772;4;Sunga Listrado;R$ 114,00;R$ 456,00
67772;1;Meia Xadrez;R$ 41,00;R$ 41,00
67774;2;Sunga Listrado;R$ 114,00;R$ 228,00
67774;3;Camisa Gola V Linho;R$ 145,00;R$ 435,00
67775;3;Polo Estampa;R$ 138,00;R$ 414,00
67775;2;Chinelo Liso;R$ 71,00;R$ 142,00
67776;3;Terno Xadrez;R$ 709,00;R$ 2.127,00
67777;5;Polo Listrado;R$ 149,00;R$ 745,00
67777;1;Mochila Liso;R$ 276,00;R$ 276,00
67779;1;Camisa Liso;R$ 105,00;R$ 105,00
67779;3;Camiseta;R$ 180,00;R$ 540,00
67780;1;Chinelo Linho;R$ 105,00;R$ 105,00
67780;1;Chinelo Linho;R$ 105,00;R$ 105,00
67780;2;Gorro;R$ 80,00;R$ 160,00
67784;1;Camisa Gola V Xadrez;R$ 107,00;R$ 107,00
67785;2;Cinto Liso;R$ 209,00;R$ 418,00
67787;2;Calça;R$ 170,00;R$ 340,00
67787;1;Mochila Linho;R$ 311,00;R$ 311,00
67788;1;Casaco Listrado;R$ 269,00;R$ 269,00
67788;2;Sapato Estampa;R$ 358,00;R$ 716,00
67789;1;Pulseira;R$ 70,00;R$ 70,00
67789;5;Polo Linho;R$ 176,00;R$ 880,00
67790;2;Mochila Xadrez;R$ 283,00;R$ 566,00
67790;3;Sapato Estampa;R$ 358,00;R$ 1.074,00
67791;1;Pulseira Estampa;R$ 87,00;R$ 87,00
67792;1;Polo Estampa;R$ 138,00;R$ 138,00
67792;2;Pulseira;R$ 70,00;R$ 140,00
